reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.04,3,0.01,9.577200000000001,1.5213917838610809
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.04,5,0.005,9.771600000000001,1.0489304266728083
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.04,5,0.01,8.4498,1.6219633658008437
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.04,7,0.005,8.645999999999999,1.766675521990386
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.04,7,0.01,9.403199999999998,1.5329519757644077
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.06,3,0.005,9.854400000000002,1.1636108627887594
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.06,3,0.01,9.485399999999998,1.286326257214708
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.06,5,0.005,8.521799999999999,1.1440949086505012
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.06,5,0.01,9.0996,1.8774022051760777
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.06,7,0.005,8.7552,1.578067983326447
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.06,7,0.01,9.0234,1.456578195635236
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.02,3,0.005,9.190200000000003,1.3563903420475978
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.02,3,0.01,8.871599999999999,1.3784657558314606
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.02,5,0.005,9.489,1.7226108672593472
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.02,5,0.01,9.563400000000001,1.298191064520165
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.02,7,0.005,9.665400000000002,1.1858023612727377
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.02,7,0.01,9.990000000000002,1.7724775880106356
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.04,3,0.005,10.014600000000002,1.5163899366587736
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.04,3,0.01,8.8722,1.6821630004253447
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.04,5,0.005,9.501000000000001,1.635493136641056
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.04,5,0.01,9.356400000000002,1.2957283048540693
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.04,7,0.005,8.782200000000001,1.7318790835390327
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.04,7,0.01,9.0642,1.4191999013528713
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.06,3,0.005,9.3276,1.5347179024172488
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.06,3,0.01,9.0624,1.3346384679005774
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.06,5,0.005,9.2688,1.4396694620641226
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.06,5,0.01,9.789,1.6284651055518509
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.06,7,0.005,9.0156,1.1649373545388606
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.05,0.06,7,0.01,9.265800000000002,1.756291422287315
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.1,0.02,3,0.005,9.448800000000002,1.4976528836816618
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.1,0.02,3,0.01,9.115199999999998,1.5256214995863158
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.1,0.02,5,0.005,9.0366,1.5027968725014038
300,3,0.98,0.6,0.3,1e-08,8,0.3,0.1,0.02,5,0.01,9.277800000000003,1.4696327296300933
