input_scale,leaking_rate,ridge_alpha,cycle_weight,connect_weight,combine_factor,mean_T_VPT,std_dev
0.1,0.6,1e-07,0.6,0.8,0.3,11.438000000000006,1.2178653455945
0.1,0.6,1e-07,0.6,0.8,0.4,10.845000000000002,1.0137430640946439
0.1,0.6,1e-07,0.6,0.8,0.5,10.584000000000003,0.9290984877826438
0.1,0.6,1e-07,0.6,0.8,0.6,10.721000000000005,0.9900398981859267
0.1,0.6,1e-07,0.6,0.8,0.7,10.722000000000007,0.7695167314620268
0.1,0.6,1e-07,0.6,1.0,0.3,11.383000000000004,1.116051522108185
0.1,0.6,1e-07,0.6,1.0,0.4,10.667000000000005,0.8505121986191587
0.1,0.6,1e-07,0.6,1.0,0.5,10.644000000000002,1.0758921879073178
0.1,0.6,1e-07,0.6,1.0,0.6,10.648000000000005,0.8717430814179168
0.1,0.6,1e-07,0.6,1.0,0.7,10.811000000000003,0.9828626557154355
0.1,0.6,1e-07,0.8,0.6,0.3,10.183000000000005,1.474520600059559
0.1,0.6,1e-07,0.8,0.6,0.4,10.149000000000004,1.0381420904673921
0.1,0.6,1e-07,0.8,0.6,0.5,10.176000000000004,1.2486728955174775
0.1,0.6,1e-07,0.8,0.6,0.6,10.623000000000005,1.4174099618670677
0.1,0.6,1e-07,0.8,0.6,0.7,11.069000000000004,1.556527866759864
0.1,0.6,1e-07,0.8,0.8,0.3,9.964000000000002,1.1218841294893172
0.1,0.6,1e-07,0.8,0.8,0.4,10.069000000000003,0.9869645383700483
0.1,0.6,1e-07,0.8,0.8,0.5,10.094000000000005,0.9611472311774107
0.1,0.6,1e-07,0.8,0.8,0.6,10.613000000000005,1.1752493352476352
